p_noise,score,entropy,label,round
0.25,0.4323559127183829,2.1382316614741197,1,56
0.375,0.13566030413127872,2.393049384397764,1,56
0.4375,-0.012687500162272825,2.5021456342821695,-1,56
0.40625,0.06148640198450295,2.4490116895127065,1,56
0.421875,0.024399450911115395,2.475926197085479,1,56
0.4296875,0.005855975374421174,2.489122122081475,1,56
0.43359375,-0.003415762393925492,2.4956553494272975,-1,56
0.431640625,0.001220106490248174,2.4923941134222183,1,56
0.4326171875,-0.0010978279518389922,2.494026074598051,-1,56
0.43212890625,6.113926920381374e-05,2.4932104299581868,1,56
0.432373046875,-0.0005183443413170341,2.493618336245745,-1,56
0.4322509765625,-0.00022860253605649916,2.493414404096294,-1,56
0.43218994140625,-8.373163342567658e-05,2.4933124222761247,-1,56
0.432159423828125,-1.1296182111264486e-05,2.493261427429415,-1,56
0.4321441650390625,2.4921543547051783e-05,2.4932359290218704,1,56
0.43215179443359375,6.812680718004671e-06,2.493248678307659,1,56
0.4321556091308594,-2.2417506964078626e-06,2.493255052889041,-1,56
0.43215370178222656,2.2854650112424935e-06,2.493251865603476,1,56
0.43215465545654297,2.1857157639360025e-08,2.4932534592475397,1,56
0.43215513229370117,-1.1099467693842513e-06,2.493254256068611,-1,56
0.0,0.9528488693134092,1.163497581644338,1,60
0.5,-0.22452745049441836,2.534707960337634,-1,60
0.25,0.3641607094094954,2.010826773367973,1,60
0.375,0.06981662945753819,2.2986485105689742,1,60
0.4375,-0.07735541051844019,2.4226691992391145,-1,60
0.40625,-0.003769390530450778,2.362199070143977,-1,60
0.390625,0.03302361946354382,2.3308154135655466,1,60
0.3984375,0.01462711446654641,2.346604263978775,1,60
0.40234375,0.0054288619680471495,2.354425817825412,1,60
0.404296875,0.0008297357187985188,2.3583184689232737,1,60
0.4052734375,-0.0014698274058264627,2.3602602741953165,-1,60
0.40478515625,-0.00032004584351419396,2.3592897479204025,-1,60
0.404541015625,0.0002548449376420514,2.358804202536656,1,60
0.4046630859375,-3.2600452935849233e-05,2.3590469987541627,-1,60
0.40460205078125,0.00011112224235332313,2.358925606527202,1,60
0.404632568359375,3.926089470929206e-05,2.3589863041110823,1,60
0.4046478271484375,3.330220886610391e-06,2.3590166518002165,1,60
0.40465545654296875,-1.4635116024619421e-05,2.3590318253690867,-1,60
0.4046516418457031,-5.652447569337582e-06,2.3590242386076263,-1,60
0.4046497344970703,-1.1611133414746178e-06,2.3590204452096644,-1,60
0.4046487808227539,1.0845537730119759e-06,2.359018548506377,1,60
0.4046492576599121,-3.8279784675410156e-08,2.3590194968583793,-1,60
0.0,1.050640360326394,2.2557195323815313,1,64
0.5,-0.07833476867862776,2.821418108862034,-1,64
0.25,0.48615279582388293,2.59874973217511,1,64
0.375,0.20390901357262736,2.7222579646231626,1,64
0.4375,0.06278712244699913,2.774712680777417,1,64
0.46875,-0.0077738231158139826,2.7987687998660498,-1,64
0.453125,0.027506649665592686,2.7869182836863673,1,64
0.4609375,0.009866413274889796,2.792887703566688,1,64
0.46484375,0.0010462950795375736,2.7958392652828934,1,64
0.466796875,-0.0033637640181380934,2.7973067826747604,-1,64
0.4658203125,-0.00115873446930026,2.7965737119122744,-1,64
0.46533203125,-5.6219694881454174e-05,2.7962066606322584,-1,64
0.465087890625,0.0004950376923282818,2.7960230059726747,1,64
0.4652099609375,0.00021940899872330277,2.796114844055436,1,64
